item,IPA,complex,stressedV,shape,shape_group,place,type,voiced.correct,voiceless.incorrect,c1,c2,correct.first,incorrect.second,file.sg,file.pl.voiceless.reg,file.pl.voiced.irreg
kumquat,kʌmkwɑt,FALSE,ɑ,PS,_P,x,filler,coal,goal,c,g,hot,hat,kumkwat.kumquat_14141,kumkwots.kumquat_13732,kumkwot.kumquat_1552
louse,laʊs,FALSE,aʊ,P,P,x,filler,pal,palm,l,l,how,high,laUs.louse_7952,lausiz.louse_4051,lais.louse_3531
man,mæn,FALSE,æ,P,P,x,filler,,,,,pack,peck,man.man_5131,mans.man_12831,men.man_9832
manatee,mænəti,FALSE,i,P_S,_P,x,filler,time,dime,t,d,reek,rake,manati.manatee_511,manetiz.manatee_12572,maneti.manatee_15352
mongoose,mɑngus,FALSE,u,PS,_P,x,filler,goal,coal,g,c,who,he,mangus.mongoose_1671,mangusIz.mongoose_13392,mangis.mongoose_8792
moose,mus,FALSE,u,P,P,x,filler,,,,,loot,foot,mus.moose_11611,musIz.moose_5952,mus.moose_14712
mouse,maʊs,FALSE,aʊ,P,P,x,filler,,,,,how,high,maus.mouse_1951,maUsIz.mouse_14032,maIs.mouse_2192
nightingale,naɪɾɪŋɡeɪl,TRUE,eɪ,P_S,_P,x,filler,goal,coal,g,c,pale,pal,naItIngeIl.nightingale_6652,naItIngeIlz.nightingale_13112,naItIngeIl.nightingale_6912
nobel,noʊbɛl,FALSE,ɛ,SP,_P,x,filler,bill,pill,b,p,know,now,noUbel.nobel_11692,noubelz.nobel_1591,noUbelo.nobel_2032
octopus,ɑktəpəs,FALSE,ɑ,P__,P_,x,filler,coal,goal,c,g,toe,tie,aktapas.octopus_251,aktapoudiz.octopus_1772,aktapai.octopus_10332
ox,ɑks,FALSE,ɑ,P,P,x,filler,coal,goal,c,g,hot,hat,aks.ox_7192,aksiz.ox_3251,aksan.ox_16561
parole,pɚoʊl,FALSE,oʊ,_P,_P,x,filler,pill,bill,p,b,cord,card,peroUl.parole_1292,perouls.parole_13641,peroUl.parole_8032
passerby,pæsɚbaɪ,TRUE,aɪ,P_S,_P,x,filler,pill,bill,p,b,bite,boat,paserbai.passerby_12851,paserbaIz.passerby_2532,paserzbaI.passerby_1332
playmate,pleɪmeɪt,TRUE,eɪ,PS,_P,x,filler,pill,bill,p,b,pale,pal,pleImeIt.playmate_13272,pleImeIts.playmate_8532,pleIzmeIt.playmate_7892
salmon,sæmn,FALSE,æ,P_,P_,x,filler,miss,dessert,ss,ss,hat,hate,samn.salmon_7211,samnz.salmon_11252,samn.salmon_14992
sheep,ʃip,FALSE,i,P,P,x,filler,pill,bill,p,b,reek,rake,ship.sheep_1371,ships.sheep_9221,ship.sheep_10452
status,stæɾəs,FALSE,æ,P_,P_,x,filler,miss,dessert,ss,ss,hat,hate,statas.status_1731,statesIz.status_14532,stataI.status_1932
stimulus,stɪmjələs,FALSE,ɪ,P__,P_,x,filler,miss,dessert,ss,ss,tick,tuck,stimjalas.stimulus_8441,stImjelesIz.stimulus_5612,stimjali.stimulus_14581
syllabus,sɪləbəs,FALSE,ɪ,P__,P_,x,filler,miss,dessert,ss,ss,tick,tuck,sIlebes.syllabus_272,sIlebesIz.syllabus_15212,silabai.syllabus_15401
syringe,sɚɪnʤ,FALSE,ɪ,_P,_P,x,filler,miss,dessert,ss,ss,tick,tuck,serinj.syringe_15781,serIngIz.syringe_5352,serinji.syringe_13481
thesis,θisəs,FALSE,i,P_,P_,x,filler,thin,this,th,th,reek,rake,thisas.thesis_14621,thisiz.thesis_11852,thisaI.thesis_8712
trout,traʊt,FALSE,aʊ,P,P,x,filler,time,dime,t,d,how,high,traut.trout_15021,traUts.trout_15432,trait.trout_7461
vanilla,vənɪlə,FALSE,ɪ,_P_,P_,x,filler,van,fan,v,f,tick,tuck,vanila.vanilla_11851,venIles.vanilla_2632,venIli.vanilla_7372
veranda,vɚændə,FALSE,æ,_P_,P_,x,filler,van,fan,v,f,hat,hate,veranda.veranda_10101,verandes.veranda_6592,verandi.veranda_14612
vertebra,vɚtəbrə,FALSE,ɚ,P__,P_,x,filler,van,fan,v,f,heard,hard,vertabra.vertebra_2651,vertebrez.vertebra_13672,vertebri.vertebra_532
walrus,wɑlrəs,FALSE,ɑ,P_,P_,x,filler,pal,palm,l,l,hot,hat,walres.walrus_11772,walresIz.walrus_3332,walraI.walrus_6612
woman,wʊmən,FALSE,ʊ,P_,P_,x,filler,,,,,foot,feet,wUmen.woman_1912,wUmenz.woman_9132,wiman.woman_331
absinth,æbsɪnθ,FALSE,æ,P_,P_,θ,stim,this,thin,th,th,hat,hate,absInth.absinth_612,absInths.absinth_14632,absInzz.absinth_1992
aftermath,æftɚmæθ,TRUE,æ,P_S,_P,θ,stim,this,thin,th,th,hat,hate,aftermath.aftermath_11571,aftermaths.aftermath_1532,aftermazz.aftermath_5012
azimuth,æzəməθ,FALSE,æ,P__,P_,θ,stim,this,thin,th,th,hat,hate,azemeth.azimuth_5652,azamaths.azimuth_951,azamazz.azimuth_2491
bath,bæθ,FALSE,æ,P,P,θ,stim,this,thin,th,th,hat,hate,bath.bath_14041,baths.bath_10132,bazz.bath_1672
Behemoth,bəhiməθ,FALSE,i,_P_,P_,θ,stim,this,thin,th,th,reek,rake,bahimath.Behemoth_7191,bahimaths.Behemoth_3191,bahimazz.Behemoth_13111
berth,bɚθ,FALSE,ɚ,P,P,θ,stim,this,thin,th,th,heard,hard,berth.berth_10851,berths.berth_7052,berzz.berth_4172
billionth,bɪljənθ,TRUE,ɪ,P_,P_,θ,stim,this,thin,th,th,tick,tuck,biljanth.billionth_8281,biljanths.billionth_3091,biljanzz.billionth_13861
blacksmith,blæksmɪθ,TRUE,ɪ,PS,_P,θ,stim,this,thin,th,th,tick,tuck,blaksmith.blacksmith_15601,blaksmIths.blacksmith_13152,blaksmizz.blacksmith_8681
booth,buθ,FALSE,u,P,P,θ,stim,this,thin,th,th,loot,foot,buth.booth_10632,buths.booth_2631,buzz.booth_3551
breath,brɛθ,FALSE,ɛ,P,P,θ,stim,this,thin,th,th,let,lot,breth.breath_15421,breths.breath_13132,brezz.breath_14432
broth,brɑθ,FALSE,ɑ,P,P,θ,stim,this,thin,th,th,hot,hat,broth.broth_13072,broths.broth_11992,brozz.broth_111
cloth,klɑθ,FALSE,ɑ,P,P,θ,stim,this,thin,th,th,hot,hat,klath.cloth_12191,klaths.cloth_13701,klazz.cloth_12931
coelacanth,siləkænθ,FALSE,æ,P_S,_P,θ,stim,this,thin,th,th,hat,hate,silakanth.coelacanth_7781,silekanths.coelacanth_7972,silekanzz.coelacanth_8292
death,dɛθ,FALSE,ɛ,P,P,θ,stim,this,thin,th,th,let,lot,deth.death_7901,deths.death_6931,dezz.death_7701
earth,ɚθ,FALSE,ɚ,P,P,θ,stim,this,thin,th,th,heard,hard,erth.earth_13761,erths.earth_9232,erzz.earth_3732
eighteenth,eɪtinθ,TRUE,i,SP,_P,θ,stim,this,thin,th,th,reek,rake,eItinth.eighteenth_11732,eItinths.eighteenth_12212,eitinzz.eighteenth_16361
eightieth,eɪtiəθ,TRUE,eɪ,P__,P_,θ,stim,this,thin,th,th,pale,pal,eitiath.eightieth_2531,eItieths.eightieth_13312,eitiazz.eightieth_9081
faith,feɪθ,FALSE,eɪ,P,P,θ,stim,this,thin,th,th,pale,pal,feith.faith_11771,feIths.faith_5152,feIzz.faith_12272
fourth,forθ,FALSE,o,P,P,θ,stim,this,thin,th,th,cord,card,forth.fourth_11092,forths.fourth_92,forzz.fourth_5232
goliath,ɡəlaɪəθ,FALSE,aɪ,_P_,P_,θ,stim,this,thin,th,th,bite,boot,galaIeth.goliath_4352,galaIeths.goliath_5592,galaIezz.goliath_9812
Goth,ɡɑθ,FALSE,ɑ,P,P,θ,stim,this,thin,th,th,hot,hat,goth.Goth_4391,goths.Goth_3631,gozz.Goth_3612
growth,ɡroʊθ,FALSE,oʊ,P,P,θ,stim,this,thin,th,th,cord,card,grouth.growth_10931,grouths.growth_12251,grouzz.growth_15141
hearth,hɑrθ,FALSE,ɑ,P,P,θ,stim,this,thin,th,th,hot,hat,harth.hearth_451,harths.hearth_14912,harzz.hearth_10392
heath,hiθ,FALSE,i,P,P,θ,stim,this,thin,th,th,reek,rake,hith.heath_14201,hiths.heath_791,hizz.heath_11911
hyacinth,haɪəsɪnθ,FALSE,aɪ,P__,P_,θ,stim,this,thin,th,th,bite,boat,haIesInth.hyacinth_3152,haiasinths.hyacinth_7881,haiasinzz.hyacinth_11031
mammoth,mæməθ,FALSE,æ,P_,P_,θ,stim,this,thin,th,th,hat,hate,mameth.mammoth_3852,mameths.mammoth_11272,mamazz.mammoth_16401
monolith,mɑnəlɪθ,FALSE,ɑ,P__,P_,θ,stim,this,thin,th,th,hot,hat,monalith.monolith_9101,monelIths.monolith_2612,monelIzz.monolith_15012
month,mʌnθ,FALSE,ʌ,P,P,θ,stim,this,thin,th,th,blood,boot,munth.month_9801,munths.month_6792,munzz.month_6131
moth,mɔθ,FALSE,ɔ,P,P,θ,stim,this,thin,th,th,dog,dig,moth.moth_12211,moths.moth_10692,mozz.moth_10311
mouth,maʊθ,FALSE,aʊ,P,P,θ,stim,this,thin,th,th,now,know,mauth.mouth_6211,maUths.mouth_3552,mauzz.mouth_12971
myth,mɪθ,FALSE,ɪ,P,P,θ,stim,this,thin,th,th,tick,tuck,mIth.myth_12732,miths.myth_12511,mIzz.myth_3432
